,Yearmonth,Yearmonth_LE,continentExp,continentExp_LE,countriesAndTerritories,countriesAndTerritories_LE,cases,deaths,geoId,countryterritoryCode,popData2019,14_days_1000,case/population%,deaths/population%,kmeans_cluster,predict LR
118,20208,11,Asia,2,Afghanistan,0,3,0,AF,AFG,38041757.0,2.23964419,0.0,0.0,2,354.2579870174369
119,20208,11,Asia,2,Afghanistan,0,45,5,AF,AFG,38041757.0,2.32901966,0.0,0.0,2,425.8463018380341
120,20208,11,Asia,2,Afghanistan,0,120,7,AF,AFG,38041757.0,2.21072859,0.0,0.0,2,425.8463018380341
121,20208,11,Asia,2,Afghanistan,0,7,0,AF,AFG,38041757.0,1.89528575,0.0,0.0,2,354.2579870174369
122,20208,11,Asia,2,Afghanistan,0,79,9,AF,AFG,38041757.0,2.3185048999999998,0.0,0.0,2,425.8463018380341
123,20208,11,Asia,2,Afghanistan,0,76,10,AF,AFG,38041757.0,2.29747538,0.0,0.0,2,425.8463018380341
125,20208,11,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,1.80328159,0.0,0.0,2,354.2579870174369
126,20208,11,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,2.07929408,0.0,0.0,2,354.2579870174369
127,20208,11,Asia,2,Afghanistan,0,39,5,AF,AFG,38041757.0,2.35793526,0.0,0.0,2,426.9887792093103
128,20208,11,Asia,2,Afghanistan,0,78,9,AF,AFG,38041757.0,2.57348786,0.0,0.0,2,426.9887792093103
129,20208,11,Asia,2,Afghanistan,0,41,0,AF,AFG,38041757.0,2.65234858,0.0,0.0,2,355.13773311016865
130,20208,11,Asia,2,Afghanistan,0,67,4,AF,AFG,38041757.0,2.57874525,0.0,0.0,2,430.3305912833719
131,20208,11,Asia,2,Afghanistan,0,82,6,AF,AFG,38041757.0,2.89681678,0.0,0.0,2,426.9887792093103
132,20208,11,Asia,2,Afghanistan,0,37,4,AF,AFG,38041757.0,2.97567749,0.0,0.0,2,428.9996364140887
133,20208,11,Asia,2,Afghanistan,0,0,1,AF,AFG,38041757.0,3.2464326,0.0,0.0,2,431.7830463656019
134,20208,11,Asia,2,Afghanistan,0,0,0,AF,AFG,38041757.0,3.70382472,0.0,0.0,2,353.8067782408854
136,20207,10,Asia,2,Afghanistan,0,71,0,AF,AFG,38041757.0,3.86943221,0.0,0.0,2,353.8067782408854
